Tiempo,Presion
70.65096133,84.12013
70.65596133,84.99261
70.66096133,86.04802
70.66596133,87.2907
70.67096133,88.71986
70.67596133,90.32886
70.68096133,92.10484
70.68596133,94.02897
70.69096133,96.07699
70.69596133,98.22017
70.70096133,100.42648
70.70596133,102.6619
70.71096133,104.89182
70.71596133,107.08241
70.72096133,109.20188
70.72596133,111.22165
70.73096133,113.1174
70.73596133,114.86972
70.74096133,116.46466
70.74596133,117.89375
70.75096133,119.15372
70.75596133,120.24577
70.76096133,121.17468
70.76596133,121.94773
70.77096133,122.57376
70.77596133,123.06231
70.78096133,123.4231
70.78596133,123.66564
70.79096133,123.79911
70.79596133,123.83222
70.80096133,123.77305
70.80596133,123.629
70.81096133,123.40665
70.81596133,123.11191
70.82096133,122.75015
70.82596133,122.32639
70.83096133,121.8454
70.83596133,121.31166
70.84096133,120.72936
70.84596133,120.10242
70.85096133,119.43451
70.85596133,118.72926
70.86096133,117.9903
70.86596133,117.22146
70.87096133,116.42693
70.87596133,115.61139
70.88096133,114.78007
70.88596133,113.93877
70.89096133,113.09374
70.89596133,112.25148
70.90096133,111.41852
70.90596133,110.60122
70.91096133,109.80553
70.91596133,109.03681
70.92096133,108.29959
70.92596133,107.59739
70.93096133,106.93261
70.93596133,106.30652
70.94096133,105.71933
70.94596133,105.1704
70.95096133,104.65851
70.95596133,104.18196
70.96096133,103.73874
70.96596133,103.32654
70.97096133,102.94274
70.97596133,102.58454
70.98096133,102.24908
70.98596133,101.93349
70.99096133,101.63505
70.99596133,101.35115
